"I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft.","I,You're"
"Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is.",Avun-Riah
What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies.,I
"I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste.",you
How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy!,You
What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated.,I
"Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious.","Nick,you"
"I am Captain Dakkan. I am in charge of this facility."" ""Captain Dakkan,"" Ryan repeated. ""It's good to meet you. I've heard... well... nothing about you...",Captain Dakkan
"Pretending will only make us anxious and encourages us to make friends with a reason, then depending with lies, thereafter we will make love with stupidity",Pretending
I also don't turn into a bat or sparkle in the sun. Hollywood's portrayal of vampires is almost as accurate as its portrayal of prostitution in Pretty Woman.,"Hollywood's,Pretty Woman"
"Collectivism is the best solution for a society in harmony. It will be a success when you find a living being, plant or microorganism that it can be applied to.",Collectivism
"I've given her signs! I've given her plenty of signs. What does she want me to do? Slap him across the face with my glove, and challenge him to pistols at dawn?","her,she"
It doesn't matter if the glass is half empty of half full. Just drink it while everyone is arguing about it and be thankful you had a glass with something in it!,you
I bet she thought she was getting into a fight with a vanilla wafer on roller skates but little did she know she was getting into a fight with a spider sandwich.,she
"Young people, nowadays, imagine that money is everything. Yes, murmured Lord Henry, settling his button-hole in his coat; and when they grow older they know it.","Young people,they"
"[about a hat] You can put it on and say, ""Hey you, person without a hat! I've got something you don't! How did I get it? Probably by being worth more to society.","you,person,person without a hat"
"Because seeing someone’s heart ripped out, presumably for the first time, is something a person should accept naturally, like finding out there’s no Santa Clause.","Outside,Santa Clause"
"If you are going to do that, would you mind not jostling the bed so much?' came a sarcastic voice near the head board. 'Perhaps you could roll around on the floor.",you
You’ve missed a lot of things. But mostly I think you’ve missed several opportunities to leave. Let me assist you to the door so that you won’t miss this next one.,"You've,you've,you"
"I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now? Because I'll save you the trouble. There's two.","you've,You,you"
"You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes.","I,my"
"It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer.",Lincoln
"He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory?","I,kid,you're,detective,you,your"
"What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view?","to shield the words from public view,Outside"
"... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out.",you
Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again.,"Claire,her"
"What tale do you like best to hear?' 'Oh, I have not much choice! They generally run on the same theme - courtship; and promise to end in the same catastrophe - marriage.","tale,courtship,marriage"
"Son, my dad said, every man needs a bitter, resentful woman in his life. Because there's nothing more touching to a mother's heart than to know that her son thinks of her constantly.","bitter, resentful woman"
"Well, child? Aren't you going to try to turn me into some kind of unspeakable creature? I don't think I shall bother, madam, seeing as you are making such a good job of it yourself!","me,madam,you,yourself!,seeingas you are making such a good job of it,it"
"I don't know what it is about ""magic happens""-stickers on cars but every time I see one I wanna get out my permanent marker and sneak over and write underneath it ""so does cot death"".","""magic happens""-stickers"
"I have church on Sunday.” “Of course you do.” “You’re welcome to come along.” “Thanks, but I’m allergic to incense.” “That’s a shame.” “It’s the bane of my existence.” - Beth and Jake",I
"Oh, for the love of God. There is no agent more agent than you. I swear you have pin-striped ties encrypted into your DNA. When you die, the coffin is going to read Property of the FBI.","you,your"
"Come on, there's no one there. You want coffee?"" Tess asked. ""Yeah, sure, why not? I'm only on the brink of a nervous breakdown. I don't imagine why caffeine wouldn't help this situation.","Tess,caffeine,this situation,situation"
"Silverstream: You idiot!!! What are you doing in my territory??? Graystripe:...Drowning? Silverstream: Can't you do that in your own territory? Graystripe: Ah, but who would rescue me there?",Silverstream
"We had and incident. I took care of it."" ""Really."" Jace's voice dripped sarcasm. ""Do you even know how to use that knife, Clarissa? Without poking a hole in yourself or any innocent bystanders?","I,Clarissa,you,yourself"
"Listen, Peaches, <em>trickery</em> is what humans are all about,"" said the voice of Maurice. ""They're so keen on tricking one another all the time that they elect governments to do it for them.","humans,They're,They,tricking one another all the time,they,them,governments,it"
"Using love as a bait and replacing respect with ego-pampering makes you a skillful social animal; unfortunately, all kinds of animals are less evolved than human beings. Would you like to evolve?","Using love as a bait,replacing respect with ego-pampering,you"
"That's the spirit! Make it chicken broth or nothing. That's putting the old foot down. If she's determined to have a nervous breakdown, the least we can do is see that she doesn't have it in peace.",she
"Mystics are all a bit funny in the head anyway,"" the priest added cynically, ""which is why the church locks them all up in mental hospitals and euphemistically calls these institutions monasteries.","Mystics,monasteries,them"
"Think of it as an eight-dimensional onion.’ Justine straightened her back and gave her father an exasperated look. ‘Thanks, Dad. That’s helpful. I always think in those terms, it really helps a lot.","her father,father,Dad"
"Maybe,” he said in a slow, rural drawl, “you could explain to me why I found you in the middle of an orgy.” “Well,” I said, “if you’re going to be in an orgy, the middle is the best spot, isn’t it.","he,I,orgy,it"
"The first time Calypso came to check on [Leo], it was to complain about the noise. “Smoke and fire,” she said. “Clanging on metal all day long. You’re scaring away the birds!” “Oh, no, not the birds!","Calyspo,she,birds"
"Sam gave Captain Suicide a droll stare. ""How did you die again? Oh wait, I know this. 'I can take 'em. I don't need to wait for reinforcements. I can do it myself.' How'd that work out for you again?","Captain Suicide,you,I,myself,you,that"
"Twenty-three stories up and all I could see out the windows was grey smog. They could call it the City of the Angels if they wanted to, but if there were angels out there, they had to be flying blind.","it,They,they,the City of the Angels"
